qacc	sacc	pident	qcovs	ppos	evalue	bitscore	sseqid	stitle
A0A1C3L1Q6	tr|A0A1D3SQ47|A0A1D3SQ47_PLAMA	99.375	100	99.58	0.0	980	tr|A0A1D3SQ47|A0A1D3SQ47_PLAMA	tr|A0A1D3SQ47|A0A1D3SQ47_PLAMA 6-phosphogluconate dehydrogenase, decarboxylating OS=Plasmodium malariae OX=5858 GN=PmUG01_12062300 PE=3 SV=1
A0A1C3L2A8	tr|A0A1D3TE75|A0A1D3TE75_PLAMA	94.981	99	95.89	0.0	4627	tr|A0A1D3TE75|A0A1D3TE75_PLAMA	tr|A0A1D3TE75|A0A1D3TE75_PLAMA Telomerase reverse transcriptase OS=Plasmodium malariae OX=5858 GN=TERT PE=3 SV=1
A0A1C3L2B1	tr|A0A1D3TEE4|A0A1D3TEE4_PLAMA	99.387	100	99.49	0.0	2006	tr|A0A1D3TEE4|A0A1D3TEE4_PLAMA	tr|A0A1D3TEE4|A0A1D3TEE4_PLAMA DNA replication licensing factor MCM4 OS=Plasmodium malariae OX=5858 GN=MCM4 PE=3 SV=1
A0A1C3L373	tr|A0A1A8WDX5|A0A1A8WDX5_PLAMA	99.635	100	99.82	0.0	1115	tr|A0A1A8WDX5|A0A1A8WDX5_PLAMA	tr|A0A1A8WDX5|A0A1A8WDX5_PLAMA ATP synthase subunit beta OS=Plasmodium malariae OX=5858 GN=PmUG01_14069900 PE=3 SV=1
A0A1C3L3D0	tr|A0A1A8WIY3|A0A1A8WIY3_PLAMA	98.820	100	99.71	0.0	1360	tr|A0A1A8WIY3|A0A1A8WIY3_PLAMA	tr|A0A1A8WIY3|A0A1A8WIY3_PLAMA SUMO-activating enzyme subunit OS=Plasmodium malariae OX=5858 GN=UBA2 PE=3 SV=1
A0A1D3JIB0	tr|A0A1D3JIB0|A0A1D3JIB0_PLAMA	100.000	100	100.00	0.0	1774	tr|A0A1D3JIB0|A0A1D3JIB0_PLAMA	tr|A0A1D3JIB0|A0A1D3JIB0_PLAMA Dipeptidyl peptidase 1 OS=Plasmodium malariae OX=5858 GN=DPAP3 PE=3 SV=1
A0A1D3JJ98	tr|A0A1D3JJ98|A0A1D3JJ98_PLAMA	100.000	100	100.00	0.0	2809	tr|A0A1D3JJ98|A0A1D3JJ98_PLAMA	tr|A0A1D3JJ98|A0A1D3JJ98_PLAMA DNA-directed RNA polymerase subunit beta OS=Plasmodium malariae OX=5858 GN=RPB2 PE=3 SV=1
A0A1D3JJD2	tr|A0A1D3JJD2|A0A1D3JJD2_PLAMA	100.000	100	100.00	0.0	2504	tr|A0A1D3JJD2|A0A1D3JJD2_PLAMA	tr|A0A1D3JJD2|A0A1D3JJD2_PLAMA RNA cytidine acetyltransferase OS=Plasmodium malariae OX=5858 GN=PmUG01_06012100 PE=3 SV=1
A0A1D3JJW6	tr|A0A1D3JJW6|A0A1D3JJW6_PLAMA	100.000	100	100.00	0.0	1828	tr|A0A1D3JJW6|A0A1D3JJW6_PLAMA	tr|A0A1D3JJW6|A0A1D3JJW6_PLAMA DNA-directed RNA polymerase subunit beta OS=Plasmodium malariae OX=5858 GN=rpoB PE=3 SV=1
A0A1D3JK01	tr|A0A1D3JK01|A0A1D3JK01_PLAMA	100.000	100	100.00	0.0	813	tr|A0A1D3JK01|A0A1D3JK01_PLAMA	tr|A0A1D3JK01|A0A1D3JK01_PLAMA Cytochrome c oxidase subunit 1 OS=Plasmodium malariae OX=5858 GN=COX1 PE=3 SV=1
A0A1D3JLL1	tr|A0A1D3JLL1|A0A1D3JLL1_PLAMA	100.000	100	100.00	0.0	1286	tr|A0A1D3JLL1|A0A1D3JLL1_PLAMA	tr|A0A1D3JLL1|A0A1D3JLL1_PLAMA Bifunctional dihydrofolate reductase-thymidylate synthase OS=Plasmodium malariae OX=5858 GN=DHFR-TS PE=3 SV=1
A0A1D3JMA5	tr|A0A1D3JMA5|A0A1D3JMA5_PLAMA	100.000	100	100.00	0.0	1517	tr|A0A1D3JMA5|A0A1D3JMA5_PLAMA	tr|A0A1D3JMA5|A0A1D3JMA5_PLAMA tRNA (guanine(37)-N1)-methyltransferase OS=Plasmodium malariae OX=5858 GN=PmUG01_07025800 PE=3 SV=1
A0A1D3JMP9	tr|A0A1D3JMP9|A0A1D3JMP9_PLAMA	100.000	100	100.00	0.0	1261	tr|A0A1D3JMP9|A0A1D3JMP9_PLAMA	tr|A0A1D3JMP9|A0A1D3JMP9_PLAMA Elongation of fatty acids protein OS=Plasmodium malariae OX=5858 GN=ELO3 PE=3 SV=1
A0A1D3JN14	tr|A0A1D3JN14|A0A1D3JN14_PLAMA	100.000	100	100.00	0.0	720	tr|A0A1D3JN14|A0A1D3JN14_PLAMA	tr|A0A1D3JN14|A0A1D3JN14_PLAMA Phosphatidylserine decarboxylase proenzyme OS=Plasmodium malariae OX=5858 GN=PSD PE=3 SV=1
A0A1D3PAV2	tr|A0A1D3PAV2|A0A1D3PAV2_PLAMA	100.000	100	100.00	0.0	912	tr|A0A1D3PAV2|A0A1D3PAV2_PLAMA	tr|A0A1D3PAV2|A0A1D3PAV2_PLAMA Enolase OS=Plasmodium malariae OX=5858 GN=ENO PE=3 SV=1
A0A1D3PAW9	tr|A0A1D3PAW9|A0A1D3PAW9_PLAMA	100.000	100	100.00	0.0	729	tr|A0A1D3PAW9|A0A1D3PAW9_PLAMA	tr|A0A1D3PAW9|A0A1D3PAW9_PLAMA Circumsporozoite protein OS=Plasmodium malariae OX=5858 GN=CSP PE=3 SV=1
A0A1D3PAX0	tr|A0A1D3PAX0|A0A1D3PAX0_PLAMA	100.000	100	100.00	0.0	4148	tr|A0A1D3PAX0|A0A1D3PAX0_PLAMA	tr|A0A1D3PAX0|A0A1D3PAX0_PLAMA Aurora kinase OS=Plasmodium malariae OX=5858 GN=ARK2 PE=3 SV=1
A0A1D3PBX5	tr|A0A1D3PBX5|A0A1D3PBX5_PLAMA	100.000	100	100.00	0.0	625	tr|A0A1D3PBX5|A0A1D3PBX5_PLAMA	tr|A0A1D3PBX5|A0A1D3PBX5_PLAMA tRNA (guanine-N(7)-)-methyltransferase OS=Plasmodium malariae OX=5858 GN=PmUG01_09036500 PE=3 SV=1
A0A1D3PC53	tr|A0A1D3PC53|A0A1D3PC53_PLAMA	100.000	100	100.00	0.0	3229	tr|A0A1D3PC53|A0A1D3PC53_PLAMA	tr|A0A1D3PC53|A0A1D3PC53_PLAMA DNA-directed RNA polymerase subunit beta OS=Plasmodium malariae OX=5858 GN=RPA2 PE=3 SV=1
A0A1D3PC73	tr|A0A1D3PC73|A0A1D3PC73_PLAMA	100.000	100	100.00	0.0	1057	tr|A0A1D3PC73|A0A1D3PC73_PLAMA	tr|A0A1D3PC73|A0A1D3PC73_PLAMA RNA-splicing ligase RtcB homolog OS=Plasmodium malariae OX=5858 GN=RTCB PE=3 SV=1
A0A1D3RHI7	tr|A0A1D3RHI7|A0A1D3RHI7_PLAMA	100.000	100	100.00	0.0	1995	tr|A0A1D3RHI7|A0A1D3RHI7_PLAMA	tr|A0A1D3RHI7|A0A1D3RHI7_PLAMA DNA replication licensing factor MCM3 OS=Plasmodium malariae OX=5858 GN=MCM3 PE=3 SV=1
A0A1D3RIX5	tr|A0A1D3RIX5|A0A1D3RIX5_PLAMA	100.000	100	100.00	0.0	1225	tr|A0A1D3RIX5|A0A1D3RIX5_PLAMA	tr|A0A1D3RIX5|A0A1D3RIX5_PLAMA Probable tRNA N6-adenosine threonylcarbamoyltransferase OS=Plasmodium malariae OX=5858 GN=KAE1 PE=3 SV=1
A0A1D3SMI1	tr|A0A1D3SMI1|A0A1D3SMI1_PLAMA	100.000	100	100.00	0.0	2059	tr|A0A1D3SMI1|A0A1D3SMI1_PLAMA	tr|A0A1D3SMI1|A0A1D3SMI1_PLAMA DNA replication licensing factor MCM6 OS=Plasmodium malariae OX=5858 GN=MCM6 PE=3 SV=1
A0A1D3SML1	tr|A0A1D3SML1|A0A1D3SML1_PLAMA	100.000	100	100.00	0.0	890	tr|A0A1D3SML1|A0A1D3SML1_PLAMA	tr|A0A1D3SML1|A0A1D3SML1_PLAMA Adenylosuccinate synthetase OS=Plasmodium malariae OX=5858 GN=ADSS PE=3 SV=1
A0A1D3SMV6	tr|A0A1D3SMV6|A0A1D3SMV6_PLAMA	100.000	100	100.00	0.0	1786	tr|A0A1D3SMV6|A0A1D3SMV6_PLAMA	tr|A0A1D3SMV6|A0A1D3SMV6_PLAMA Threonylcarbamoyladenosine tRNA methylthiotransferase OS=Plasmodium malariae OX=5858 GN=PmUG01_11041400 PE=3 SV=1
A0A1D3SNT6	tr|A0A1D3SNT6|A0A1D3SNT6_PLAMA	100.000	100	100.00	0.0	2142	tr|A0A1D3SNT6|A0A1D3SNT6_PLAMA	tr|A0A1D3SNT6|A0A1D3SNT6_PLAMA Putative rRNA methyltransferase OS=Plasmodium malariae OX=5858 GN=PmUG01_11031500 PE=3 SV=1
A0A1D3SPX3	tr|A0A1D3SPX3|A0A1D3SPX3_PLAMA	100.000	100	100.00	0.0	692	tr|A0A1D3SPX3|A0A1D3SPX3_PLAMA	tr|A0A1D3SPX3|A0A1D3SPX3_PLAMA Glyceraldehyde-3-phosphate dehydrogenase OS=Plasmodium malariae OX=5858 GN=GAPDH PE=3 SV=1
A0A1D3SQ01	tr|A0A1D3SQ01|A0A1D3SQ01_PLAMA	100.000	100	100.00	0.0	588	tr|A0A1D3SQ01|A0A1D3SQ01_PLAMA	tr|A0A1D3SQ01|A0A1D3SQ01_PLAMA NAD(P)H-hydrate epimerase OS=Plasmodium malariae OX=5858 GN=PmUG01_12057200 PE=3 SV=1
A0A1D3SQ30	tr|A0A1D3SQ30|A0A1D3SQ30_PLAMA	100.000	100	100.00	0.0	583	tr|A0A1D3SQ30|A0A1D3SQ30_PLAMA	tr|A0A1D3SQ30|A0A1D3SQ30_PLAMA Polyprenol reductase OS=Plasmodium malariae OX=5858 GN=PmUG01_12061000 PE=3 SV=1
A0A1D3SQ47	tr|A0A1D3SQ47|A0A1D3SQ47_PLAMA	100.000	100	100.00	0.0	984	tr|A0A1D3SQ47|A0A1D3SQ47_PLAMA	tr|A0A1D3SQ47|A0A1D3SQ47_PLAMA 6-phosphogluconate dehydrogenase, decarboxylating OS=Plasmodium malariae OX=5858 GN=PmUG01_12062300 PE=3 SV=1
A0A1D3SQA0	tr|A0A1D3SQA0|A0A1D3SQA0_PLAMA	100.000	100	100.00	0.0	2754	tr|A0A1D3SQA0|A0A1D3SQA0_PLAMA	tr|A0A1D3SQA0|A0A1D3SQA0_PLAMA Crossover junction endonuclease MUS81 OS=Plasmodium malariae OX=5858 GN=MUS81 PE=3 SV=1
A0A1D3SQA9	tr|A0A1D3SQA9|A0A1D3SQA9_PLAMA	100.000	100	100.00	0.0	937	tr|A0A1D3SQA9|A0A1D3SQA9_PLAMA	tr|A0A1D3SQA9|A0A1D3SQA9_PLAMA Lipoyl synthase, apicoplast OS=Plasmodium malariae OX=5858 GN=LipA PE=3 SV=1
A0A1D3TC97	tr|A0A1D3TC97|A0A1D3TC97_PLAMA	100.000	100	100.00	0.0	1244	tr|A0A1D3TC97|A0A1D3TC97_PLAMA	tr|A0A1D3TC97|A0A1D3TC97_PLAMA O-phosphoseryl-tRNA(Sec) selenium transferase OS=Plasmodium malariae OX=5858 GN=SEPSECS PE=3 SV=1
A0A1D3TCH6	tr|A0A1D3TCH6|A0A1D3TCH6_PLAMA	100.000	100	100.00	0.0	3078	tr|A0A1D3TCH6|A0A1D3TCH6_PLAMA	tr|A0A1D3TCH6|A0A1D3TCH6_PLAMA DNA-directed RNA polymerase subunit beta OS=Plasmodium malariae OX=5858 GN=RPC2 PE=3 SV=1
A0A1D3TCK0	tr|A0A1D3TCK0|A0A1D3TCK0_PLAMA	100.000	100	100.00	0.0	6147	tr|A0A1D3TCK0|A0A1D3TCK0_PLAMA	tr|A0A1D3TCK0|A0A1D3TCK0_PLAMA glutamate synthase (NADH) OS=Plasmodium malariae OX=5858 GN=PmUG01_13025000 PE=3 SV=1
A0A1D3TCP0	tr|A0A1D3TCP0|A0A1D3TCP0_PLAMA	100.000	100	100.00	0.0	3110	tr|A0A1D3TCP0|A0A1D3TCP0_PLAMA	tr|A0A1D3TCP0|A0A1D3TCP0_PLAMA DNA topoisomerase 2 OS=Plasmodium malariae OX=5858 GN=TOP2 PE=3 SV=1
A0A1D3TCR2	tr|A0A1D3TCR2|A0A1D3TCR2_PLAMA	100.000	100	100.00	0.0	5082	tr|A0A1D3TCR2|A0A1D3TCR2_PLAMA	tr|A0A1D3TCR2|A0A1D3TCR2_PLAMA diphosphoinositol-pentakisphosphate 1-kinase OS=Plasmodium malariae OX=5858 GN=PmUG01_13029800 PE=3 SV=1
A0A1D3TCX4	tr|A0A1D3TCX4|A0A1D3TCX4_PLAMA	100.000	100	100.00	0.0	946	tr|A0A1D3TCX4|A0A1D3TCX4_PLAMA	tr|A0A1D3TCX4|A0A1D3TCX4_PLAMA Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial OS=Plasmodium malariae OX=5858 GN=PmUG01_13028600 PE=3 SV=1
A0A1D3TE75	tr|A0A1D3TE75|A0A1D3TE75_PLAMA	100.000	100	100.00	0.0	5264	tr|A0A1D3TE75|A0A1D3TE75_PLAMA	tr|A0A1D3TE75|A0A1D3TE75_PLAMA Telomerase reverse transcriptase OS=Plasmodium malariae OX=5858 GN=TERT PE=3 SV=1
A0A1D3TEE4	tr|A0A1D3TEE4|A0A1D3TEE4_PLAMA	100.000	100	100.00	0.0	2019	tr|A0A1D3TEE4|A0A1D3TEE4_PLAMA	tr|A0A1D3TEE4|A0A1D3TEE4_PLAMA DNA replication licensing factor MCM4 OS=Plasmodium malariae OX=5858 GN=MCM4 PE=3 SV=1
A0A1D3TEF9	tr|A0A1D3TEF9|A0A1D3TEF9_PLAMA	100.000	100	100.00	0.0	2313	tr|A0A1D3TEF9|A0A1D3TEF9_PLAMA	tr|A0A1D3TEF9|A0A1D3TEF9_PLAMA Phosphodiesterase OS=Plasmodium malariae OX=5858 GN=PmUG01_14038200 PE=3 SV=1
A0A1D3TEQ3	tr|A0A1D3TEQ3|A0A1D3TEQ3_PLAMA	100.000	100	100.00	0.0	658	tr|A0A1D3TEQ3|A0A1D3TEQ3_PLAMA	tr|A0A1D3TEQ3|A0A1D3TEQ3_PLAMA Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial OS=Plasmodium malariae OX=5858 GN=PmUG01_14047700 PE=3 SV=1
A0A1D3TEQ6	tr|A0A1D3TEQ6|A0A1D3TEQ6_PLAMA	100.000	100	100.00	0.0	2682	tr|A0A1D3TEQ6|A0A1D3TEQ6_PLAMA	tr|A0A1D3TEQ6|A0A1D3TEQ6_PLAMA Eukaryotic translation initiation factor 3 subunit A OS=Plasmodium malariae OX=5858 GN=EIF3A PE=3 SV=1
A0A1D3TFK8	tr|A0A1D3TFK8|A0A1D3TFK8_PLAMA	100.000	100	100.00	0.0	1191	tr|A0A1D3TFK8|A0A1D3TFK8_PLAMA	tr|A0A1D3TFK8|A0A1D3TFK8_PLAMA Dipeptidyl peptidase 1 OS=Plasmodium malariae OX=5858 GN=DPAP2 PE=3 SV=1
Q9Y1B0	tr|A0A1C3L2H8|A0A1C3L2H8_PLAMA	90.404	100	96.46	1.50e-136	378	tr|A0A1C3L2H8|A0A1C3L2H8_PLAMA	tr|A0A1C3L2H8|A0A1C3L2H8_PLAMA Superoxide dismutase OS=Plasmodium malariae OX=5858 GN=FeSOD PE=3 SV=1
